From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price,EMA_Short,EMA_Long,MACD,MACD_Signal
BTC,Bitcoin,EUR,Euro,20215.66495500,2020-12-25 23:50:01,UTC,20215.66495500,20215.67314000,20158.438658922678,20119.88088863222,38.5577702904593,32.43952799142912
BTC,Bitcoin,EUR,Euro,20187.14841500,2020-12-25 23:55:02,UTC,20187.14023000,20187.14841500,20167.242704473036,20126.976004659464,40.266699813571904,34.00496235585768
BTC,Bitcoin,EUR,Euro,20227.62324000,2020-12-26 00:00:03,UTC,20227.62324000,20227.63142500,20170.305121477184,20131.433220240244,38.871901236940175,34.97835013207418
BTC,Bitcoin,EUR,Euro,20126.73493000,2020-12-26 00:05:02,UTC,20126.73493000,20130.96657500,20179.123293557615,20138.558406889115,40.56488666850055,36.09565743935946
BTC,Bitcoin,EUR,Euro,20208.12657000,2020-12-26 00:10:02,UTC,20208.12657000,20208.13475500,20171.063545317982,20137.682593786216,33.380951531766186,35.5527162578408
BTC,Bitcoin,EUR,Euro,20190.48789500,2020-12-26 00:15:02,UTC,20190.96262500,20190.97081000,20176.765549115218,20142.900666098347,33.86488301687132,35.2151496096469
BTC,Bitcoin,EUR,Euro,20121.46379000,2020-12-26 00:20:01,UTC,20121.46379000,20121.47197500,20178.876679251338,20146.42564601699,32.45103323434887,34.6623263345873
BTC,Bitcoin,EUR,Euro,20167.85637000,2020-12-26 00:25:03,UTC,20167.84818500,20167.85637000,20170.043927058825,20144.576619645362,25.46730741346255,32.82332255036235
BTC,Bitcoin,EUR,Euro,20174.81362000,2020-12-26 00:30:02,UTC,20174.81362000,20174.82180500,20169.707379819007,20146.301045597556,23.40633422145038,30.939924884579955
BTC,Bitcoin,EUR,Euro,20157.61693500,2020-12-26 00:35:03,UTC,20157.60875000,20157.61693500,20170.492955231468,20148.413088145888,22.07986708558019,29.167913324780006
BTC,Bitcoin,EUR,Euro,20172.99655000,2020-12-26 00:40:01,UTC,20172.98836500,20172.99655000,20168.51202904201,20149.094854579525,19.417174462483672,27.21776555232074
BTC,Bitcoin,EUR,Euro,20140.97683000,2020-12-26 00:45:03,UTC,20140.97683000,20140.98501500,20169.20195534324,20150.8653505366,18.336604806641844,25.44153340318496
BTC,Bitcoin,EUR,Euro,20115.71792000,2020-12-26 00:50:03,UTC,20108.23683000,20115.71792000,20164.859628367354,20150.13286753389,14.72676083346596,23.298578889241163
BTC,Bitcoin,EUR,Euro,20131.10572000,2020-12-26 00:55:02,UTC,20131.09753500,20131.10572000,20157.299365541607,20147.58361216101,9.715753380598471,20.582013787512626
BTC,Bitcoin,EUR,Euro,20134.16691000,2020-12-26 01:00:01,UTC,20135.10000000,20135.10818500,20153.269573919824,20146.36302755649,6.906546363334201,17.846920302676942
BTC,Bitcoin,EUR,Euro,20122.83068500,2020-12-26 01:05:02,UTC,20122.82250000,20122.83068500,20150.33070254754,20145.459611441194,4.8710911063462845,15.251754463410812
BTC,Bitcoin,EUR,Euro,20116.48731000,2020-12-26 01:10:03,UTC,20116.47912500,20116.48731000,20146.09993061715,20143.78339466777,2.316535949379613,12.664710760604574
BTC,Bitcoin,EUR,Euro,20129.05128500,2020-12-26 01:15:02,UTC,20129.04310000,20129.05128500,20141.544142829895,20141.76146247016,-0.21731964026548667,10.088304680430564
BTC,Bitcoin,EUR,Euro,20087.54515000,2020-12-26 01:20:01,UTC,20087.54515000,20087.55333500,20139.622164702218,20140.81996784274,-1.1978031405233196,7.831083116239787
BTC,Bitcoin,EUR,Euro,20114.45743000,2020-12-26 01:25:03,UTC,20114.45743000,20114.46561500,20131.610316286493,20136.873685039576,-5.263368753083341,5.212192742375162
BTC,Bitcoin,EUR,Euro,20122.33958500,2020-12-26 01:30:02,UTC,20122.69972500,20122.70791000,20128.971410703954,20135.21322170331,-6.241810999355948,2.92139199402894
BTC,Bitcoin,EUR,Euro,20187.49218500,2020-12-26 01:35:02,UTC,20187.48400000,20187.49218500,20127.951129826422,20134.259618984546,-6.308489158123848,1.0754157635983823
BTC,Bitcoin,EUR,Euro,20241.67688500,2020-12-26 01:40:01,UTC,20241.66870000,20241.67688500,20137.11129216082,20138.202772022727,-1.0914798619087378,0.6420366384969584
BTC,Bitcoin,EUR,Euro,20231.53567000,2020-12-26 01:45:03,UTC,20231.27375000,20231.28193500,20153.198306443766,20145.867521132157,7.330785311609361,1.979786373119439
BTC,Bitcoin,EUR,Euro,20334.76489000,2020-12-26 01:50:02,UTC,20334.75670500,20334.76489000,20165.25020852934,20152.213309937182,13.03689859215956,4.191208816927463
BTC,Bitcoin,EUR,Euro,20382.75354500,2020-12-26 01:55:03,UTC,20382.74536000,20382.75354500,20191.329390294057,20165.735649201095,25.593741092961864,8.471715272134343
BTC,Bitcoin,EUR,Euro,20391.28231500,2020-12-26 02:00:01,UTC,20391.28231500,20391.29050000,20220.77926024882,20181.811048889904,38.96821135891514,14.571014489490503
BTC,Bitcoin,EUR,Euro,20376.77031000,2020-12-26 02:05:02,UTC,20376.76212500,20376.77031000,20247.01049944131,20197.327438972134,49.68306046917496,21.593423685427396
BTC,Bitcoin,EUR,Euro,20363.48605500,2020-12-26 02:10:02,UTC,20363.48605500,20363.49424000,20266.973547219568,20210.61950349272,56.35404372684934,28.545547693711786
BTC,Bitcoin,EUR,Euro,20415.71454000,2020-12-26 02:15:02,UTC,20415.70635500,20415.71454000,20281.821625339635,20221.942951752517,59.8786735871181,34.81217287239305
BTC,Bitcoin,EUR,Euro,20381.32935500,2020-12-26 02:20:01,UTC,20381.32935500,20381.33754000,20302.420535287383,20236.296402733813,66.12413255357023,41.07456480862849
BTC,Bitcoin,EUR,Euro,20343.79294500,2020-12-26 02:25:02,UTC,20343.79294500,20344.45593000,20314.56035370471,20247.03958438316,67.52076932154887,46.363805711212564
BTC,Bitcoin,EUR,Euro,20334.83855500,2020-12-26 02:30:03,UTC,20334.83037000,20334.83855500,20319.057675442447,20254.206499984408,64.8511754580395,50.06127966057796
BTC,Bitcoin,EUR,Euro,20360.17931500,2020-12-26 02:35:02,UTC,20358.81242000,20360.17931500,20321.485503066688,20260.179244800376,61.30625826631149,52.31027538172467
BTC,Bitcoin,EUR,Euro,20367.36574500,2020-12-26 02:40:01,UTC,20367.35756000,20367.36574500,20327.438397210277,20267.586657407755,59.85173980252148,53.81856826588404
BTC,Bitcoin,EUR,Euro,20363.67431000,2020-12-26 02:45:02,UTC,20363.66612500,20363.67431000,20333.581066101004,20274.97770093311,58.60336516789539,54.77552764628631
