From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,18724.09705100,2020-12-21 20:40:04,UTC,18724.08888400,18724.09705100
BTC,Bitcoin,EUR,Euro,18666.65514000,2020-12-21 20:45:04,UTC,18666.64697100,18666.65514000
BTC,Bitcoin,EUR,Euro,18637.93660600,2020-12-21 20:50:01,UTC,18637.93660600,18637.94477700
BTC,Bitcoin,EUR,Euro,18632.66666400,2020-12-21 20:55:06,UTC,18633.43483200,18633.44300400
BTC,Bitcoin,EUR,Euro,18663.80198400,2020-12-21 21:00:04,UTC,18663.83467200,18663.84284400
BTC,Bitcoin,EUR,Euro,18651.37695000,2020-12-21 21:05:03,UTC,18651.37695000,18651.38512500
BTC,Bitcoin,EUR,Euro,18665.78345500,2020-12-21 21:10:01,UTC,18665.78345500,18665.79162800
BTC,Bitcoin,EUR,Euro,18695.36845000,2020-12-21 21:15:04,UTC,18695.36845000,18695.37662400
BTC,Bitcoin,EUR,Euro,18701.13000000,2020-12-21 21:20:03,UTC,18698.33586000,18700.04339000
BTC,Bitcoin,EUR,Euro,18692.39311400,2020-12-21 21:25:03,UTC,18692.38494000,18692.39311400
BTC,Bitcoin,EUR,Euro,18712.53385000,2020-12-21 21:30:01,UTC,18712.41941400,18712.42758800
BTC,Bitcoin,EUR,Euro,18740.22313900,2020-12-21 21:35:03,UTC,18740.21496600,18740.22313900
BTC,Bitcoin,EUR,Euro,18810.96336000,2020-12-21 21:40:03,UTC,18810.30960000,18813.77452800
BTC,Bitcoin,EUR,Euro,18855.48948100,2020-12-21 21:45:04,UTC,18855.48948100,18855.49765200
BTC,Bitcoin,EUR,Euro,18854.51358000,2020-12-21 21:50:01,UTC,18854.51358000,18854.52175000
BTC,Bitcoin,EUR,Euro,18873.90691500,2020-12-21 21:55:05,UTC,18873.89874400,18873.90691500
BTC,Bitcoin,EUR,Euro,18885.13877000,2020-12-21 22:00:04,UTC,18885.31840000,18885.32656500
BTC,Bitcoin,EUR,Euro,18852.15368400,2020-12-21 22:05:07,UTC,18852.15368400,18852.47208000
BTC,Bitcoin,EUR,Euro,18876.54193200,2020-12-21 22:10:01,UTC,18876.53376600,18876.54193200
BTC,Bitcoin,EUR,Euro,18921.87139800,2020-12-21 22:15:04,UTC,18921.87139800,18921.87956400
